ID;County;Site_Name;Easting;Northing;Depth;New_Code;Sample_Date;pH;T;O(0);Eh;Alkalinity;N(-3);N(3);N(5);P;C(-4);Si;Cl;F;S(6);Na;K;Mg;Ca;Fe;Mn;B;Al;Cr;Ni;Cu;Zn;As;Cd;Sb;Ba;Pb;U;Hg;Co;Mo;Sr;Ag;Be
5544;Laois;Portlaoise WS (Meelick BH);247899;197078;;IE_SE_G_0170_1600_0012;29/06/10;7;10.6;nd;32;207;-0.026;-0.007;10.72;-0.015;-1.5;6;30;-0.2;25;14;3;14;128;-10;-1;21;-5;-1;-1;4;12;-0.5;-0.1;-0.5;92;-0.5;7;-0.05;-0.5;-0.5;285;-0.5;-0.5
5545;Roscommon;BoyleRockingham;184940;302873;;IE_SH_G_0048_2600_0006;29/06/10;7.1;10;nd;146;206;-0.026;-0.007;3.81;0.018;-1.5;4;18;0.2;14;10;2;7;122;33;10;11;-5;-1;-1;2;9;-0.5;-0.1;-0.5;17;-0.5;1;-0.05;-0.5;0.5;671;-0.5;-0.5
5546;Roscommon;Keadew;190582;311872;;IE_SH_G_0105_2600_0009;29/06/10;7.8;10.2;nd;173;162;-0.026;-0.007;5.14;0.028;-1.5;5;24;-0.2;11;16;1;16;78;56;-1;-10;-5;-1;-1;3;3;-0.5;-0.1;-0.5;10;-0.5;2;-0.05;-0.5;-0.5;179;-0.5;-0.5
5547;Sligo;Culfadda;165618;312644;;IE_WE_G_0037_2700_0002;29/06/10;7;10.3;nd;394;203;-0.026;-0.007;3.54;-0.015;-1.5;5;19;0.2;18;11;1;12;112;58;3;15;-5;-1;-1;1;5;-0.5;-0.1;-0.5;34;-0.5;2;-0.05;-0.5;-0.5;569;-0.5;-0.5
5548;Meath;Enfield Bore;278143;241369;;IE_EA_G_0002_2300_0004;30/06/10;7.2;11.1;nd;6;199;0.181;-0.007;-0.36;0.032;-1.5;8;14;0.3;22;13;1;9;99;811;345;30;-5;-1;3;-1;1;2;-0.1;-0.5;97;-0.5;0.3;-0.05;-0.5;3;2130;-0.5;-0.5
5549;Offaly;Edenderry  Kishawanny Bridge;264620;233420;;IE_EA_G_0002_2500_0006;30/06/10;7.2;13;nd;208;181;-0.026;-0.007;-0.36;-0.015;-1.5;14;21;0.3;46;15;1;17;89;-10;119;26;-5;-1;2;2;15;-0.5;0.2;-0.5;64;-0.5;0.9;-0.05;-0.5;2;506;-0.5;-0.5
5550;Meath;Longwood;273050;245620;;IE_EA_G_0018_2300_0010;30/06/10;7.1;12.3;nd;93;195;-0.026;0.013;3.84;-0.015;-1.5;9;18;0.2;22;9;0.9;16;102;-10;5;15;-5;-1;1;2;8;-0.5;-0.1;-0.5;34;-0.5;0.8;-0.05;-0.5;-0.5;519;-0.5;-0.5
5551;Donegal;Parkhill (Ballyshannon);189323;363853;;IE_NW_G_0072_0600_0003;30/06/10;7.5;10.1;nd;239;191;-0.026;-0.007;3.37;-0.015;-1.5;5;29;-0.2;15;17;2;25;71;-10;26;14;-5;-1;-1;7;12;-0.5;-0.1;-0.5;44;-0.5;2;-0.05;-0.5;-0.5;303;-0.5;-0.5
5552;Offaly;Clonbulloge WS;260781;223655;;IE_SE_G_0048_2500_0004;30/06/10;7.1;14.9;nd;656;201;-0.026;-0.007;10.36;-0.015;-1.5;7;20;-0.2;10;9;1;16;95;-10;1;12;-5;1;-1;4;7;-0.5;-0.1;-0.5;23;-0.5;1;-0.05;-0.5;0.7;277;-0.5;-0.5
5553;Offaly;Walsh Island PWS (Coolagarry BH);252173;221093;;IE_SE_G_0116_2500_0015;30/06/10;7;10.5;nd;123;203;-0.026;-0.007;17.85;-0.015;-1.5;6;18;-0.2;13;7;0.6;16;122;-10;-1;14;-5;-1;-1;1;7;-0.5;-0.1;-0.5;20;-0.5;0.6;-0.05;-0.5;-0.5;167;-0.5;-0.5
